case,backend,step,n_seeds,mean_reward,ci95_lower,ci95_upper
b300-tp4,triton,63,4,0.5260416716337204,0.4308241575802064,0.6212591856872344
b300-tp4,triton,64,4,0.65625,0.6004493920017772,0.7120506079982228
b300-tp4,triton,65,4,0.4010416641831398,0.3238881193024176,0.478195209063862
b300-tp4,triton,66,4,0.3697916567325592,0.2206144861723854,0.518968827292733
b300-tp4,triton,67,4,0.5208333358168602,0.4720371559844339,0.5696295156492864
b300-tp4,triton,68,4,0.6796875,0.566154134226958,0.793220865773042
b300-tp4,triton,69,4,0.5208333432674408,0.40284990893699457,0.638816777597887
b300-tp4,triton,70,4,0.6380208432674408,0.5122417927466868,0.7637998937881948
b300-tp4,triton,71,4,0.4895833283662796,0.43216501777276556,0.5470016389597936
b300-tp4,triton,72,4,0.5885416567325592,0.46863341231651134,0.7084499011486071
b300-tp4,triton,73,4,0.5651041716337204,0.4700069498958299,0.6602013933716109
b300-tp4,triton,74,4,0.4140625,0.30463659894138206,0.5234884010586179
b300-tp4,triton,75,4,0.4557291716337204,0.4142910655388595,0.49716727772858127
b300-tp4,triton,76,4,0.4635416641831398,0.3993460332000973,0.5277372951661823
b300-tp4,triton,77,4,0.2890624962747097,0.21325606213358586,0.36486893041583357
b300-tp4,triton,78,4,0.5104166716337204,0.44009389021034206,0.5807394530570987
b300-tp4,triton,79,4,0.5234375,0.45942043108066455,0.5874545689193355
b300-tp4,triton,80,4,0.5494791716337204,0.46348470500667693,0.6354736382607639
b300-tp4,triton,81,4,0.4270833358168602,0.3729488183791423,0.4812178532545781
b300-tp4,triton,82,4,0.6067708432674408,0.5136195449241928,0.6999221416106888
b300-tp4,triton,83,4,0.6171875,0.5311930135685166,0.7031819864314834
b300-tp4,triton,84,4,0.5000000074505806,0.45511402659840533,0.5448859883027559
b300-tp4,triton,85,4,0.6458333283662796,0.5436566949604522,0.748009961772107
b300-tp4,triton,86,4,0.7213541716337204,0.6737454022242595,0.7689629410431813
b300-tp4,triton,87,4,0.6145833432674408,0.554059125794587,0.6751075607402945
b300-tp4,triton,88,4,0.6953124850988388,0.5825886685612078,0.8080363016364698
b300-tp4,triton,89,4,0.5911458432674408,0.4979945449241928,0.6842971416106888
b300-tp4,triton,90,4,0.7317708283662796,0.688178650312609,0.7753630064199502
b300-tp4,triton,91,4,0.4609375,0.4061722680256604,0.5157027319743396
b300-tp4,triton,92,4,0.5494791716337204,0.4701312758177181,0.6288270674497227
b300-tp4,triton,93,4,0.6770833283662796,0.6635497135268302,0.690616943205729
b300-tp4,triton,94,4,0.6510416716337204,0.6013159428445329,0.7007674004229079
b300-tp4,triton,95,4,0.6796874850988388,0.5947646557787101,0.7646103144189675
b300-tp4,triton,96,4,0.5755208432674408,0.5546641263576617,0.5963775601772199
b300-tp4,triton,97,4,0.5755208432674408,0.4905979815518171,0.6604437049830645
b300-tp4,triton,98,4,0.5963541865348816,0.5217656012547947,0.6709427718149685
b300-tp4,triton,99,4,0.5182291716337204,0.4899215505476176,0.5465367927198233
b300-tp4,triton,100,4,0.5338541641831398,0.4437005135424159,0.6240078148238637
b300-tp4,liger_tp,1,4,0.0,0.0,0.0
b300-tp4,liger_tp,2,4,0.0,0.0,0.0
b300-tp4,liger_tp,3,4,0.0,0.0,0.0
b300-tp4,liger_tp,4,4,0.0,0.0,0.0
b300-tp4,liger_tp,5,4,0.0,0.0,0.0
b300-tp4,liger_tp,6,4,0.0,0.0,0.0
b300-tp4,liger_tp,7,4,0.0,0.0,0.0
b300-tp4,liger_tp,8,4,0.0,0.0,0.0
b300-tp4,liger_tp,9,4,0.0,0.0,0.0
b300-tp4,liger_tp,10,4,0.0,0.0,0.0
b300-tp4,liger_tp,11,4,0.0,0.0,0.0
b300-tp4,liger_tp,12,4,0.0,0.0,0.0
b300-tp4,liger_tp,13,4,0.0,0.0,0.0
b300-tp4,liger_tp,14,4,0.0,0.0,0.0
b300-tp4,liger_tp,15,4,0.0,0.0,0.0
b300-tp4,liger_tp,16,4,0.0,0.0,0.0
b300-tp4,liger_tp,17,4,0.0,0.0,0.0
b300-tp4,liger_tp,18,4,0.0,0.0,0.0
b300-tp4,liger_tp,19,4,0.0,0.0,0.0
b300-tp4,liger_tp,20,4,0.0,0.0,0.0
b300-tp4,liger_tp,21,4,0.0,0.0,0.0
b300-tp4,liger_tp,22,4,0.0,0.0,0.0
b300-tp4,liger_tp,23,4,0.0,0.0,0.0
b300-tp4,liger_tp,24,4,0.0,0.0,0.0
b300-tp4,liger_tp,25,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,liger_tp,26,4,0.0052083334885537624,-0.004361386749964235,0.01477805372707176
b300-tp4,liger_tp,27,4,0.0,0.0,0.0
b300-tp4,liger_tp,28,4,0.0,0.0,0.0
b300-tp4,liger_tp,29,4,0.0052083334885537624,-0.004361386749964235,0.01477805372707176
b300-tp4,liger_tp,30,4,0.0052083334885537624,-0.004361386749964235,0.01477805372707176
b300-tp4,liger_tp,31,4,0.0026041667442768812,-0.005683454089389781,0.010891787577943544
b300-tp4,liger_tp,32,4,0.0,0.0,0.0
b300-tp4,liger_tp,33,4,0.02604166674427688,-0.01781229922797909,0.06989563271653285
b300-tp4,liger_tp,34,4,0.018229166977107525,-0.0026275542510003844,0.039085888205215434
b300-tp4,liger_tp,35,4,0.015625,-0.013084159859954352,0.044334159859954356
b300-tp4,liger_tp,36,4,0.01822916674427688,-0.006633694933421974,0.04309202842197574
b300-tp4,liger_tp,37,4,0.023437500232830644,-0.020154648660461016,0.0670296491261223
b300-tp4,liger_tp,38,4,0.03645833441987634,-0.02015689401313922,0.0930735628528919
b300-tp4,liger_tp,39,4,0.0755208337213844,-0.010473631406038394,0.16151529884880722
b300-tp4,liger_tp,40,4,0.10937500186264515,-0.02218690006832652,0.24093690379361682
b300-tp4,liger_tp,41,4,0.15624999697320163,-0.054718374542092996,0.36721836848849626
b300-tp4,liger_tp,42,4,0.0755208337213844,-0.010473631406038394,0.16151529884880722
b300-tp4,liger_tp,43,4,0.18750000069849193,-0.051934315204834575,0.42693431660181846
b300-tp4,liger_tp,44,4,0.21093749883584678,-0.037276386043376214,0.4591513837150698
b300-tp4,liger_tp,45,4,0.2005208358168602,-0.00038631718199858,0.40142798881571895
b300-tp4,liger_tp,46,4,0.2005208320915699,-0.05316701188786199,0.4542086760710018
b300-tp4,liger_tp,47,4,0.16145833116024733,0.023110496541319414,0.29980616577917524
